sentence,label
"If God intended our proximity to Asia, do you believe he would have waited for you to show it to the world?",world?
"No.  The Portuguese have already discovered black-skinned people.  I, too, will find other populations -- and bring them to the word of God.",God.
Is that all that interests you? Gold?,Gold?
"Trade, Your Excellency.  According to Marco Polo, the Kingdom of China is one of the richest of the world. Even the meanest buildings are roofed with gold.",gold.
"If they agree to follow me, yes.",yes.
"Your life, and that of others!",others!
"Your Eminence, there is only one way to settle the matter.  And that is to make the journey.  I am ready to risk my life to prove it possible.",possible.
"Excellency, you are right.",right.
"Senor Colon, an experienced captain such as yourself will understand our concern with the crew.  I am not willing to have on my conscience the loss of men who would have relied upon our judgment.",judgment.
"Then you cannot ignore that according to their calculations, the circumference of the Earth is approximately...  22,000 leagues or more.  Which makes the ocean... uncrossable.",uncrossable.
"I am, Your Eminence",Eminence
"Unfortunately, Don Colon, that is precisely where our opinions differ...  Are you familiar with the work of Aristotle?  Erathostene?  Ptolemeus?",Ptolemeus?
"Yes, your Eminence.  The voyage should not take more than six or seven weeks.",weeks.
You say Asia can be found by sailing west?,west?
"A waste...?  Let me tell you something, Arojaz.  If your name, or mine, is ever remembered -- it will only be because of his.",his.
What a tragedy... what a waste of a life...,life...
You can see for yourself.,yourself.
"On the contrary, Your Eminence.  It seems to me the man is preparing his own cross.",cross.
"It won't be easy to get rid of your prophet now, Don Sanchez.",Sanchez.
"Indeed.  The world is full of mercenaries -- and states often make use of them, when it benefits them.  My only concern is the welfare and prosperity of Spain.",Spain.
He is a mercenary!  Did he not already try to convince the King of Portugal of his absurd notions?,notions?
Naturally.  But I would really deplore the loss of such a potential opportunity for Spain for a... dispute over a point of geography.,geography.
The Judgment is ours!,ours!
"The State has some reason to be interested in this man's proposition, Your Eminence...",Eminence...
I can't keep my eyes off you.  I would like to catch up with all the moments I didn't spend with you.,you.
"What is it, now?  Tell me...",me...
I am busy inside.,inside.
Can't you stay with us a little?,little?
"Not everything... Do you think I care?  I'm a free man again.  Riches don't make a man rich, they only make him busier...",busier...
They took everything...,everything...
They tried... but I didn't let them.,them.
God... you're so beautiful!  I can't believe no other man has ever taken you away from me...,me...
I can arrange for the Queen to take Fernando and Diego into her service.,service.
You don't usually ask.,ask.
"Beatrix, I want to ask you something.",something.
That's something you can't decide.,decide.
I don't want you to wait for me.,me.
I'm not asking you to swear to anything.,anything.
Thank God...,God...
She said yes.,yes.
I find that hard to believe.,believe.
Perhaps I was never meant to live with a woman...,woman...
I'd love to argue with you sometimes.  But you're never here!,here!
Are we going to argue?,argue?
Well... that's true.  I have a child by a man who won't marry me!  Who's always leaving...,leaving...
I haven't given you much of a life.,life.
I know.,know.
I could be gone for years.,years.
I am afraid this is not the worst news.,news.
How could I be?  The mainland has been found.  Exactly as I said it would.,would.
I am not a seaman.  But I heard it is no more than a week at sea.  I hope you are not too disappointed.,disappointed.
How far from here?,here?
Congratulations.  Then I am free to search for the mainland.,mainland.
Viceroy of the West Indies.,Indies.
Appointment to what?,what?
My letters of appointment.,appointment.
Yes... I remember...,remember...
Don Alonso de Bobadilla.,Bobadilla.
Bartolome and Giacomo Colon.,Colon.
May I ask by whom?,whom?
"Forgive me, Don Bobadilla -- those positions have already been taken.",taken.
I understand that you will soon be appointing Governors for the islands?  Is it not so?,so?
Tell me the first thing that comes to your mind.,mind.
Really?  God... I wouldn't know where to start... and yet...,yet...
"I want you to tell me everything you remember, Father.  From the beginning.  Everything.",Everything.
He never had one... except aboard my ships!,ships!
He asks when he can come to visit you.  He left his address.,address.
What does he say?,say?
"I am not listening, Father.  But I can't help hearing.",hearing.
What are you listening to?,to?
There must be a passage to that other ocean.,ocean.
Father...,Father...
Not bad.,bad.
"How are you feeling, Fernando?",Fernando?
This time with me!,me!
I have to explore the mainland.,mainland.
"Yes... Yes, I do... On all of them!",them!
Do you swear on all the Holy Saints in heaven?,heaven?
You promise?  Do you swear on St. Christopher...?,Christopher...?
There'll be a time.,time.
I want to go with you!,you!
All of them created by people like me.,me.
"Roofs... towers, palaces... spires...",spires...
What do you see?,see?
Look out of that window.,window.
I am not afraid of you.  You are nothing but a dreamer.,dreamer.
Call them.,them.
All I have to do is call the guards.,guards.
"To rise so high, in so short a time, is a dangerous occupation.  A little hypocrisy goes a long way.",way.
What...?  Do I have so many already?,already?
You seem to have a special talent for making friends.,friends.
Good!  We are also in need of judges.  Except there are no thieves!,thieves!
"Don Bobadilla is already a judge, my Dear Don Cristobal.",Cristobal.
But we do have a lack of notaries. You should contact my administration.,administration.
... for a commoner?,commoner?
You defend yourself admirably...,admirably...
"Forgive me, Don Colon.  But what about gold?",gold?
"They don't see sin in their nakedness.  They live according to nature, in a never ending summer. The islands are covered with trees, filled with blossoms and fruits. And...",And...
"If you won't accept our proposal, we'll simply find someone who will.",will.
"And were you never ambitious, Excellency?  Or is ambition only a virtue among the nobles, a fault for the rest of us?",us?
Then you are too ambitious.,ambitious.
I'm not bargaining!,bargaining!
"I remind you, Senor Colon, that you are in no position to bargain with me.",me.
"NO...!  I have waited too long, fought too hard.  Now you expect me to take all the risks while you take the profit!  No... I will not be your servant!",servant!
No?,No?
No...,No...
You never learned how to speak my language.,language.
"Utapan, won't you speak to me?  You used to know how to speak to me.",me.
You did the same to your God!,God!
"You have to find them, Utapan.  Look what they did!",did!
Ask him if he will help.,help.
He understands.,understands.
We will work with his people.  We want peace.  Ask the Chief if he understands?,understands?
He has medicine.  Tell him we admire his people.,people.
Chief says...,says...
... and also to bring medicine.,medicine.
Chief says -- he has a God.,God.
To bring the word of God.,God.
Why?,Why?
Thousands.,Thousands.
Chief says -- how many?,many?
Tell him his country is very beautiful.  Tell him we are leaving men here -- to build a fort.,fort.
Chief knows.,knows.
Tell the Chief we thank him.,him.
You come!  You speak first!,first!
Island.  Far.,Far.
What is it?  A tribe?  An island?,island?
Say not here!  Cuba!,Cuba!
I don't know... I have the impression that I didn't change that much.  I still can't accept the world as it is!,is!
Oh?  So you are a new man?,man?
New worlds create new people.,people.
I knew you would.,would.
I have to disagree.,disagree.
"You'll always be older than me, Father.",Father.
I suppose we're both old men now.,now.
Give me absolution.,absolution.
I believed in you...,you...
"You are bound by an oath, Father.",Father.
"My son, my son...  Your certitudes are sometimes frightening...  Christopher, you must speak to them. And if you don't I will.",will.
"If I tell them, they won't follow me.  You know that I am right, Father.  You trust me...",me...
May God forgive you...!  You must tell them!  You must tell your men!,men!
I am not sure... It could be twice the distance.,distance.
How long?,long?
I lied.  The journey will be longer than I said.,said.
What are you saying?,saying?
"Father, I have betrayed my family. I betrayed my men.  And I betrayed you.",you.
"I am listening, my son.",son.
"Forgive me, Father.  For I have sinned.",sinned.
"In Nomine Patris et Filius, et Spiritus Sancti.",Sancti.
Colon!  Don't!,Don't!
All of them!  Just lies!,lies!
Damn all of you!  You all set up theories based on what?  You never leave the safety of your studies! Go out!  Find out what the world is about and then tell me something I can listen to!,to!
Colon!,Colon!
Damn God!,God!
"If God intends you to go, then you will go.",go.
Wait!  I've waited seven years already!  How much longer do you want me to wait?,wait?
You mustn't give way to despair. You must wait.,wait.
"Only God knows the meaning of such words, my son.",son.
I've been contradicted all my life... Eternity!,Eternity!
You get so carried away when you are being contradicted!,contradicted!
Passion is something one cannot control!,control!
Father Marchena!,Marchena!
"I'll try to remember that, Marchena...",Marchena...
"Two minutes... and already you're a dead man.  Don't let passion overwhelm you, Colon.",Colon.
So was Christ!,Christ!
Esdras is a Jew.,Jew.
"The calculations of Toscanelli Marin de Tyr, Esdras...",Esdras...
How can you be so certain?,certain?
Ignorance!  I believe the Indies are no more than 750 leagues west of the Canary Islands.,Islands.
How can you be so certain?  The Ocean is said to be infinite.,infinite.
To open a new route to Asia.  At the moment there are only two ways of reaching it...,it...
Why do you wish to sail west?,west?
With some difficulty.  I had to promise them you were not a total fool.,fool.
How did you manage it?,it?
That's what it says.,says.
God... That's in a week!,week!
"Father, I am doing what I think is the best for him.  And he has the teacher I would have chosen for myself.",myself.
"Diego is a bright boy -- a pleasure to teach -- but so serious... Brothers should be raised together, Colon.  Even brothers from different mothers...",mothers...
Your Majesty -- some men are content to read about things.  I must see them with my own eyes.  I cannot be other than I am.,am.
